,Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
141,1147,409,3,49.2,1,2,2,122,5,At-Risk/Occasional
2540,3611,320,2,49.150000000000006,1,1,2,112,4,At-Risk/Occasional
3366,4460,171,3,49.15,2,2,2,222,6,At-Risk/Occasional
3186,4273,199,4,49.1,2,3,2,232,7,At-Risk/Occasional
152,1158,74,4,49.1,3,3,2,332,8,At-Risk/Occasional
1097,2126,612,1,49.00000000000001,1,1,2,112,4,At-Risk/Occasional
1338,2378,259,1,49.0,2,1,2,212,5,At-Risk/Occasional
555,1568,661,2,48.900000000000006,1,1,2,112,4,At-Risk/Occasional
2329,3397,313,3,48.9,1,2,2,122,5,At-Risk/Occasional
3131,4216,246,5,48.9,2,4,2,242,8,Loyal Customers
2862,3939,323,2,48.89,1,1,2,112,4,At-Risk/Occasional
3144,4229,132,3,48.8,3,2,2,322,7,At-Risk/Occasional
8,1009,86,4,48.75,3,3,2,332,8,At-Risk/Occasional
2846,3923,337,3,48.74,1,2,2,122,5,At-Risk/Occasional
251,1260,452,2,48.74,1,1,2,112,4,At-Risk/Occasional
3553,4651,192,3,48.7,2,2,2,222,6,At-Risk/Occasional
3748,4849,227,3,48.64,2,2,2,222,6,At-Risk/Occasional
731,1752,255,5,48.6,2,4,2,242,8,Loyal Customers
796,1818,111,4,48.6,3,3,2,332,8,At-Risk/Occasional
616,1631,138,2,48.6,3,1,2,312,6,At-Risk/Occasional
3747,4848,77,3,48.5,3,2,2,322,7,At-Risk/Occasional
2243,3307,85,4,48.5,3,3,2,332,8,At-Risk/Occasional
488,1499,51,5,48.5,4,4,2,442,10,Loyal Customers
128,1134,391,3,48.4,1,2,2,122,5,At-Risk/Occasional
1367,2411,618,3,48.4,1,2,2,122,5,At-Risk/Occasional
2551,3622,2,5,48.4,4,4,2,442,10,Loyal Customers
3604,4702,52,2,48.39,4,1,2,412,7,Active Customers
421,1431,53,4,48.300000000000004,4,3,2,432,9,Active Customers
2902,3980,105,3,48.300000000000004,3,2,2,322,7,At-Risk/Occasional
2038,3096,130,3,48.300000000000004,3,2,2,322,7,At-Risk/Occasional
1469,2516,152,2,48.300000000000004,2,1,2,212,5,At-Risk/Occasional
2863,3940,296,2,48.2,1,1,2,112,4,At-Risk/Occasional
2054,3112,225,4,48.2,2,3,2,232,7,At-Risk/Occasional
1702,2753,113,3,48.2,3,2,2,322,7,At-Risk/Occasional
1036,2062,99,3,48.11,3,2,2,322,7,At-Risk/Occasional
38,1040,34,4,48.1,4,3,2,432,9,Active Customers
2547,3618,449,2,48.1,1,1,2,112,4,At-Risk/Occasional
3802,4903,22,2,48.1,4,1,2,412,7,Active Customers
2910,3989,438,3,48.1,1,2,2,122,5,At-Risk/Occasional
3012,4094,275,4,48.1,2,3,2,232,7,At-Risk/Occasional
2687,3759,113,4,48.02,3,3,2,332,8,At-Risk/Occasional
589,1604,49,4,48.0,4,3,2,432,9,Active Customers
3087,4171,210,3,47.9,2,2,2,222,6,At-Risk/Occasional
3714,4815,705,1,47.9,1,1,2,112,4,At-Risk/Occasional
3786,4887,413,3,47.9,1,2,2,122,5,At-Risk/Occasional
1258,2295,2,4,47.9,4,3,2,432,9,Active Customers
3447,4542,346,3,47.7,1,2,2,122,5,At-Risk/Occasional
